Rank, Feature                          , Description                                                                                                                                             , Category        , Tags                                       , Marketing Priority
  20, Result Caching                   , "LRU cache (200 entries, 20MB cap) persists query results across tab switches and sessions — instant reload of recent queries"                          , Performance     , "cache,performance,persistence"            , Secondary
  21, Read-Only Query Enforcement      , "Multi-layer safety: SQL parsing validation, mutation keyword detection, transaction-based rollback, and MCP-level read-only lock"                      , Security        , "read-only,safety,enforcement"             , Secondary
  22, Table Statistics                 , "Column-level stats from pg_stats: distinct counts, null fractions, top values with frequencies, min/max, and average string lengths"                   , Data Exploration, "statistics,metadata,column-stats"         , Secondary
  23, Column Configuration             , "Per-table column visibility, drag-to-reorder, resize by dragging dividers, auto-fit to content, and persistent width overrides"                        , Data Display    , "columns,visibility,resize,reorder"        , Secondary
  24, Breadcrumb Navigation            , "Hierarchical path display showing connection > schema > table chain with click-to-navigate at any level"                                               , UI/UX           , "breadcrumb,navigation,hierarchy"          , Tertiary
  25, Command Palette                  , "Fuzzy search over all actions with frecency ranking, scope prefixes (/t for tables), keyboard shortcut hints, and action history"                      , Power User      , "command-palette,fuzzy-search,actions"     , Tertiary
  26, Multi-Statement SQL Execution    , "Parse and execute multiple SQL statements in sequence with per-statement results, timing, and error recovery"                                          , Query           , "multi-statement,batch,sql"                , Tertiary
  27, Connection Health Monitoring     , "Real-time status indicators, automatic reconnection attempts, health pings, and graceful password re-prompting"                                        , Connectivity    , "health,reconnect,monitoring"              , Tertiary
  28, Resizable Panels                 , "Sidebar, log panel, and SQL editor/results split all resizable via drag handles (react-resizable-panels)"                                              , UI/UX           , "layout,resizable,panels"                  , Tertiary
  29, Context Menus                    , "Rich right-click menus on tables, cells, connections, and tabs with relevant actions (filter, copy, delete, edit)"                                     , UI/UX           , "context-menu,right-click,actions"         , Tertiary
  30, Auto-Updater                     , "Background update checking with delta downloads, progress indicator, and restart prompt — distributed via Cloudflare R2 CDN"                           , Distribution    , "updates,auto-update,distribution"         , Tertiary
  31, Join Table Detection             , "Automatically identifies pure join tables (2 FKs, no extra columns) and collapses them in the UI with M2M relationship display"                        , Data Exploration, "join-tables,m2m,auto-detect"              , Tertiary
  32, Frecency-Based Sorting           , "Tables and actions ranked by combined frequency + recency of use — most relevant items always surface first"                                           , Productivity    , "frecency,smart-sort,history"              , Tertiary
  33, SQL Injection Prevention         , "Parameterized queries via sqlx throughout, type-safe Rust query builders, and identifier validation"                                                   , Security        , "security,parameterized,sql-injection"     , Tertiary
  34, Connection String Parsing        , "Paste a postgres:// URL and auto-fill the entire connection form — no manual field entry needed"                                                       , Connectivity    , "connection-string,paste,url"              , Tertiary
  35, SSL/TLS Support                  , "Configurable SSL modes for secure database connections"                                                                                                , Security        , "ssl,tls,encryption"                       , Tertiary
  36, Object Definitions               , "View CREATE statements for tables, views, and materialized views with refresh support for mat views"                                                   , Data Exploration, "ddl,create-statement,view-source"         , Tertiary
  37, Materialized View Refresh        , "Trigger REFRESH MATERIALIZED VIEW directly from the UI"                                                                                                , Data Exploration, "materialized-view,refresh"                , Tertiary
  38, Estimated Row Counts             , "Fast approximate counts from pg_class.reltuples with ANALYZE refresh option for accuracy"                                                              , Performance     , "row-count,performance,pg-stats"           , Tertiary
  39, Cross-Platform (macOS + Intel)   , "Native macOS builds for both Apple Silicon and Intel architectures, with Linux/Windows in pipeline"                                                    , Distribution    , "macos,cross-platform,native"              , Tertiary
  40, Tauri 2 Native Desktop           , "Small binary size, native webview, Rust backend — fast startup, low memory, no Electron bloat"                                                         , Architecture    , "tauri,native,performance,lightweight"     , Tertiary
